from,to,weight
v37_h1,v37_h29,0.0036770000588148832
v37_h10,v37_h18,0.0900539979338646
v37_h10,v37_h29,0.0073540001176297665
v37_h10,v37_h38,0.0036770000588148832
v37_h10,v37_h53,0.0036770000588148832
v37_h100,v37_h18,0.08269999921321869
v37_h100,v37_h29,0.06431499868631363
v37_h100,v37_h38,0.047800999134778976
v37_h100,v37_h53,0.09373100101947784
v37_h101,v37_h18,0.011030999943614006
v37_h101,v37_h29,0.014708000235259533
v37_h101,v37_h38,0.025738999247550964
v37_h101,v37_h53,0.022061999887228012
v37_h102,v37_h18,0.014708000235259533
v37_h102,v37_h29,0.0073540001176297665
v37_h102,v37_h38,0.022061999887228012
v37_h102,v37_h53,0.01838500052690506
v37_h104,v37_h18,0.01838500052690506
v37_h104,v37_h29,0.011030999943614006
v37_h104,v37_h38,0.014708000235259533
v37_h104,v37_h53,0.0073540001176297665
v37_h105,v37_h18,0.0036770000588148832
v37_h105,v37_h38,0.0036770000588148832
v37_h105,v37_h53,0.0036770000588148832
v37_h106,v37_h18,0.0073540001176297665
v37_h106,v37_h29,0.014708000235259533
v37_h106,v37_h38,0.01838500052690506
v37_h106,v37_h53,0.014708000235259533
v37_h107,v37_h18,0.014708000235259533
v37_h107,v37_h29,0.022061999887228012
v37_h107,v37_h38,0.029416000470519066
v37_h107,v37_h53,0.025738999247550964
v37_h108,v37_h18,0.01838500052690506
v37_h108,v37_h29,0.029416000470519066
v37_h108,v37_h38,0.022061999887228012
v37_h108,v37_h53,0.025738999247550964
v37_h11,v37_h18,0.09373100101947784
v37_h11,v37_h38,0.011030999943614006
v37_h110,v37_h18,0.011030999943614006
v37_h110,v37_h29,0.08637700229883194
v37_h110,v37_h38,0.0900539979338646
v37_h110,v37_h53,0.025738999247550964
v37_h111,v37_h18,0.011030999943614006
v37_h111,v37_h29,0.025738999247550964
v37_h111,v37_h38,0.014708000235259533
v37_h111,v37_h53,0.08269999921321869
v37_h112,v37_h18,0.0073540001176297665
v37_h112,v37_h29,0.07902300357818604
v37_h112,v37_h38,0.014708000235259533
v37_h112,v37_h53,0.07166899740695953
v37_h113,v37_h18,0.06063799932599068
v37_h113,v37_h29,0.025738999247550964
v37_h113,v37_h38,0.0900539979338646
v37_h113,v37_h53,0.022061999887228012
v37_h114,v37_h18,0.0073540001176297665
v37_h114,v37_h29,0.0036770000588148832
v37_h114,v37_h38,0.011030999943614006
v37_h114,v37_h53,0.011030999943614006
v37_h12,v37_h18,0.09373100101947784
v37_h12,v37_h29,0.011030999943614006
v37_h12,v37_h38,0.0036770000588148832
v37_h13,v37_h18,0.07902300357818604
v37_h13,v37_h29,0.0073540001176297665
v37_h14,v37_h18,0.09373100101947784
v37_h14,v37_h29,0.011030999943614006
v37_h14,v37_h38,0.0036770000588148832
v37_h14,v37_h53,0.0073540001176297665
v37_h15,v37_h18,0.08637700229883194
v37_h15,v37_h29,0.07166899740695953
v37_h15,v37_h53,0.011030999943614006
v37_h16,v37_h18,0.01838500052690506
v37_h16,v37_h29,0.0073540001176297665
v37_h16,v37_h53,0.0036770000588148832
v37_h17,v37_h18,0.0073540001176297665
v37_h17,v37_h29,0.0036770000588148832
v37_h18,v37_h29,0.011030999943614006
v37_h18,v37_h38,0.01838500052690506
v37_h18,v37_h53,0.014708000235259533
v37_h19,v37_h18,0.09373100101947784
v37_h19,v37_h29,0.011030999943614006
v37_h19,v37_h38,0.0036770000588148832
v37_h19,v37_h53,0.0036770000588148832
v37_h2,v37_h18,0.011030999943614006
v37_h2,v37_h29,0.014708000235259533
v37_h2,v37_h53,0.0073540001176297665
v37_h21,v37_h18,0.10843999683856964
v37_h21,v37_h29,0.0073540001176297665
v37_h21,v37_h38,0.07534600049257278
v37_h21,v37_h53,0.011030999943614006
v37_h22,v37_h18,0.09373100101947784
v37_h22,v37_h29,0.0073540001176297665
v37_h22,v37_h38,0.01838500052690506
v37_h22,v37_h53,0.011030999943614006
v37_h24,v37_h18,0.01838500052690506
v37_h24,v37_h29,0.01838500052690506
v37_h24,v37_h38,0.011030999943614006
v37_h24,v37_h53,0.07166899740695953
v37_h25,v37_h18,0.025738999247550964
v37_h25,v37_h29,0.025738999247550964
v37_h25,v37_h38,0.0073540001176297665
v37_h25,v37_h53,0.0073540001176297665
v37_h26,v37_h18,0.0073540001176297665
v37_h26,v37_h29,0.07534600049257278
v37_h26,v37_h38,0.0073540001176297665
v37_h26,v37_h53,0.011030999943614006
v37_h27,v37_h18,0.0073540001176297665
v37_h27,v37_h29,0.09373100101947784
v37_h27,v37_h38,0.011030999943614006
v37_h27,v37_h53,0.014708000235259533
v37_h29,v37_h18,0.011030999943614006
v37_h29,v37_h38,0.0036770000588148832
v37_h29,v37_h53,0.01838500052690506
v37_h3,v37_h18,0.0073540001176297665
v37_h3,v37_h29,0.07166899740695953
v37_h3,v37_h38,0.0073540001176297665
v37_h3,v37_h53,0.0073540001176297665
v37_h31,v37_h18,0.0073540001176297665
v37_h31,v37_h29,0.03677000105381012
v37_h31,v37_h38,0.014708000235259533
v37_h31,v37_h53,0.011030999943614006
v37_h32,v37_h18,0.0036770000588148832
v37_h32,v37_h29,0.029416000470519066
v37_h32,v37_h38,0.022061999887228012
v37_h32,v37_h53,0.011030999943614006
v37_h35,v37_h18,0.0073540001176297665
v37_h35,v37_h29,0.0073540001176297665
v37_h35,v37_h38,0.09373100101947784
v37_h35,v37_h53,0.014708000235259533
v37_h4,v37_h18,0.0073540001176297665
v37_h4,v37_h29,0.08269999921321869
v37_h4,v37_h38,0.014708000235259533
v37_h4,v37_h53,0.014708000235259533
v37_h40,v37_h18,0.01838500052690506
v37_h40,v37_h29,0.011030999943614006
v37_h40,v37_h38,0.07534600049257278
v37_h40,v37_h53,0.0073540001176297665
v37_h41,v37_h18,0.08637700229883194
v37_h41,v37_h29,0.014708000235259533
v37_h41,v37_h38,0.011030999943614006
v37_h41,v37_h53,0.011030999943614006
v37_h42,v37_h18,0.0073540001176297665
v37_h42,v37_h29,0.014708000235259533
v37_h42,v37_h38,0.0036770000588148832
v37_h42,v37_h53,0.0036770000588148832
v37_h43,v37_h18,0.0073540001176297665
v37_h43,v37_h29,0.10108999907970428
v37_h43,v37_h38,0.025738999247550964
v37_h43,v37_h53,0.014708000235259533
v37_h44,v37_h18,0.025738999247550964
v37_h44,v37_h29,0.07902300357818604
v37_h44,v37_h38,0.022061999887228012
v37_h44,v37_h53,0.014708000235259533
v37_h45,v37_h18,0.03309300169348717
v37_h45,v37_h29,0.01838500052690506
v37_h45,v37_h38,0.029416000470519066
v37_h45,v37_h53,0.014708000235259533
v37_h46,v37_h18,0.0073540001176297665
v37_h46,v37_h29,0.025738999247550964
v37_h46,v37_h38,0.08269999921321869
v37_h46,v37_h53,0.01838500052690506
v37_h48,v37_h18,0.0036770000588148832
v37_h48,v37_h29,0.01838500052690506
v37_h48,v37_h38,0.0900539979338646
v37_h48,v37_h53,0.022061999887228012
v37_h49,v37_h18,0.025738999247550964
v37_h49,v37_h29,0.0974079966545105
v37_h49,v37_h38,0.04044700041413307
v37_h49,v37_h53,0.04044700041413307
v37_h5,v37_h18,0.01838500052690506
v37_h5,v37_h29,0.07166899740695953
v37_h5,v37_h38,0.0073540001176297665
v37_h5,v37_h53,0.0036770000588148832
v37_h50,v37_h18,0.011030999943614006
v37_h50,v37_h29,0.08269999921321869
v37_h50,v37_h38,0.03309300169348717
v37_h50,v37_h53,0.025738999247550964
v37_h54,v37_h18,0.07534600049257278
v37_h54,v37_h29,0.10108999907970428
v37_h54,v37_h38,0.029416000470519066
v37_h54,v37_h53,0.08637700229883194
v37_h55,v37_h18,0.022061999887228012
v37_h55,v37_h29,0.01838500052690506
v37_h55,v37_h38,0.08637700229883194
v37_h55,v37_h53,0.03309300169348717
v37_h56,v37_h18,0.011030999943614006
v37_h56,v37_h29,0.0073540001176297665
v37_h56,v37_h38,0.014708000235259533
v37_h56,v37_h53,0.01838500052690506
v37_h57,v37_h18,0.0036770000588148832
v37_h57,v37_h29,0.0036770000588148832
v37_h57,v37_h38,0.022061999887228012
v37_h57,v37_h53,0.022061999887228012
v37_h58,v37_h18,0.014708000235259533
v37_h58,v37_h29,0.01838500052690506
v37_h58,v37_h38,0.03309300169348717
v37_h58,v37_h53,0.0900539979338646
v37_h59,v37_h18,0.01838500052690506
