measure,node,top_k_count,top_k_freq,n_universes
avg_neighbor_degree,v40_h76,4,0.8,5
avg_neighbor_degree,v40_h2,3,0.6,5
avg_neighbor_degree,v40_h16,3,0.6,5
avg_neighbor_degree,v40_h25,3,0.6,5
avg_neighbor_degree,v40_h65,3,0.6,5
avg_neighbor_degree,v40_h32,3,0.6,5
avg_neighbor_degree,v40_h29,2,0.4,5
avg_neighbor_degree,v40_h26,2,0.4,5
avg_neighbor_degree,v40_h21,2,0.4,5
avg_neighbor_degree,v40_h84,2,0.4,5
avg_neighbor_degree,v40_h13,2,0.4,5
avg_neighbor_degree,v40_h94,2,0.4,5
avg_neighbor_degree,v40_h22,2,0.4,5
avg_neighbor_degree,v48_h84,2,0.4,5
avg_neighbor_degree,v48_h24,2,0.4,5
avg_neighbor_degree,v40_h17,2,0.4,5
avg_neighbor_degree,v40_h92,2,0.4,5
avg_neighbor_degree,v74_h78,2,0.4,5
avg_neighbor_degree,v74_h80,2,0.4,5
avg_neighbor_degree,v74_h92,2,0.4,5
avg_neighbor_degree,v74_h76,2,0.4,5
avg_neighbor_degree,v74_h71,2,0.4,5
avg_neighbor_degree,v74_h84,2,0.4,5
avg_neighbor_degree,v74_h63,2,0.4,5
avg_neighbor_degree,v74_h61,2,0.4,5
avg_neighbor_degree,v74_h69,2,0.4,5
avg_neighbor_degree,v74_h93,2,0.4,5
avg_neighbor_degree,v40_h4,2,0.4,5
avg_neighbor_degree,v40_h96,1,0.2,5
avg_neighbor_degree,v40_h11,1,0.2,5
avg_neighbor_degree,v40_h54,1,0.2,5
avg_neighbor_degree,v48_h110,1,0.2,5
avg_neighbor_degree,v48_h75,1,0.2,5
avg_neighbor_degree,v74_h57,1,0.2,5
avg_neighbor_degree,v74_h72,1,0.2,5
avg_neighbor_degree,v74_h73,1,0.2,5
avg_neighbor_degree,v48_h89,1,0.2,5
avg_neighbor_degree,v74_h89,1,0.2,5
avg_neighbor_degree,v40_h88,1,0.2,5
avg_neighbor_degree,v40_h5,1,0.2,5
avg_neighbor_degree,v40_h90,1,0.2,5
avg_neighbor_degree,v40_h12,1,0.2,5
avg_neighbor_degree,v41_h98,1,0.2,5
avg_neighbor_degree,v41_h18,1,0.2,5
avg_neighbor_degree,v41_h49,1,0.2,5
avg_neighbor_degree,v67_h10,1,0.2,5
avg_neighbor_degree,v67_h42,1,0.2,5
avg_neighbor_degree,v67_h43,1,0.2,5
avg_neighbor_degree,v67_h85,1,0.2,5
avg_neighbor_degree,v41_h88,1,0.2,5
betweenness_k500,v76_h89,4,0.8,5
betweenness_k500,v48_h13,3,0.6,5
betweenness_k500,v59_h3,3,0.6,5
betweenness_k500,v48_h85,3,0.6,5
betweenness_k500,v48_h27,3,0.6,5
betweenness_k500,v48_h49,2,0.4,5
betweenness_k500,v74_h10,2,0.4,5
betweenness_k500,v48_h76,2,0.4,5
betweenness_k500,v48_h50,2,0.4,5
betweenness_k500,v45_h42,2,0.4,5
betweenness_k500,v43_h19,2,0.4,5
betweenness_k500,v50_h113,2,0.4,5
betweenness_k500,v41_h90,2,0.4,5
betweenness_k500,v76_h2,2,0.4,5
betweenness_k500,v44_h40,2,0.4,5
betweenness_k500,v50_h27,2,0.4,5
betweenness_k500,v66_h46,2,0.4,5
betweenness_k500,v48_h58,2,0.4,5
betweenness_k500,v69_h11,2,0.4,5
betweenness_k500,v65_h53,2,0.4,5
betweenness_k500,v37_h53,2,0.4,5
betweenness_k500,v65_h105,2,0.4,5
betweenness_k500,v37_h18,2,0.4,5
betweenness_k500,v56_h4,2,0.4,5
betweenness_k500,v76_h38,2,0.4,5
betweenness_k500,v37_h29,2,0.4,5
betweenness_k500,v41_h69,1,0.2,5
betweenness_k500,v67_h110,1,0.2,5
betweenness_k500,v40_h80,1,0.2,5
betweenness_k500,v57_h49,1,0.2,5
betweenness_k500,v77_h87,1,0.2,5
betweenness_k500,v43_h96,1,0.2,5
betweenness_k500,v77_h44,1,0.2,5
betweenness_k500,v42_h110,1,0.2,5
betweenness_k500,v42_h19,1,0.2,5
betweenness_k500,v45_h74,1,0.2,5
betweenness_k500,v41_h115,1,0.2,5
betweenness_k500,v70_h33,1,0.2,5
betweenness_k500,v52_h145,1,0.2,5
betweenness_k500,v53_h41,1,0.2,5
betweenness_k500,v68_h45,1,0.2,5
betweenness_k500,v56_h51,1,0.2,5
betweenness_k500,v58_h52,1,0.2,5
betweenness_k500,v72_h48,1,0.2,5
betweenness_k500,v42_h117,1,0.2,5
betweenness_k500,v41_h51,1,0.2,5
betweenness_k500,v72_h206,1,0.2,5
betweenness_k500,v67_h169,1,0.2,5
betweenness_k500,v51_h52,1,0.2,5
betweenness_k500,v52_h46,1,0.2,5
closeness_centrality,v41_h10,5,1.0,5
closeness_centrality,v67_h61,4,0.8,5
closeness_centrality,v40_h35,4,0.8,5
closeness_centrality,v40_h24,4,0.8,5
closeness_centrality,v40_h49,4,0.8,5
closeness_centrality,v40_h89,4,0.8,5
closeness_centrality,v41_h4,4,0.8,5
