representation,centrality,outcome,model,ame,se,pval,n_obs,significant
directed_weighted,in_degree,raw_count,ols,12.380767414468394,9.461127704972701e-16,0.0,7311,True
directed_weighted,in_degree,village_share,ols,0.022485440654658344,0.0008120183668118102,9.010610138171818e-169,7311,True
directed_weighted,in_degree,village_pctrank,ols,0.09396353318367782,0.0011211648724127304,0.0,7311,True
directed_weighted,in_degree,raw_count,poisson,2.482482555425754,0.011565662574767032,0.0,7311,True
directed_weighted,in_degree,raw_count,negbin,9.020434957581266,0.12053465457721649,0.0,7311,True
directed_weighted,in_degree,binary,logit,0.1865717025383331,0.0007559728007188506,0.0,7311,True
directed_weighted,out_degree,raw_count,ols,0.5254031896285403,0.25968547270926934,0.04304953897234259,7311,True
directed_weighted,out_degree,village_share,ols,0.0004150290176972123,0.00024997582076961546,0.09685881134942528,7311,False
directed_weighted,out_degree,village_pctrank,ols,0.002514553091792137,0.0017890334614047096,0.15986159387666488,7311,False
directed_weighted,out_degree,raw_count,poisson,0.21970554797896463,0.012718588680506685,7.337609219645538e-67,7311,True
directed_weighted,out_degree,raw_count,negbin,0.1837735980338254,0.2818210882817379,0.514341089995651,7311,False
directed_weighted,out_degree,binary,logit,0.0021274747569380767,0.0017963115722384108,0.23627164811635715,7311,False
directed_weighted,total_degree,raw_count,ols,12.154588423057081,0.08858174093721058,0.0,7311,True
directed_weighted,total_degree,village_share,ols,0.021925458599384638,0.0008488591002957176,4.154397845769434e-147,7311,True
directed_weighted,total_degree,village_pctrank,ols,0.09183934608326685,0.001137361649460195,0.0,7311,True
directed_weighted,total_degree,raw_count,poisson,2.4312700568096477,0.010528430359120815,0.0,7311,True
directed_weighted,total_degree,raw_count,negbin,18.153419602056957,0.25414435742156316,0.0,7311,True
directed_weighted,total_degree,binary,logit,0.1821113651411207,0.0010453098231462752,0.0,7311,True
directed_weighted,weighted_in_degree,raw_count,ols,11.061834640171426,0.36415620061500636,1.1186388161957074e-202,7311,True
directed_weighted,weighted_in_degree,village_share,ols,0.021477557510821088,0.0010520981876923784,1.255136761795971e-92,7311,True
