"estimate","se","MCMC %","z value","Pr(>|z|)","term","village","representation","spec"
-3.21911895439144,0.0562216329299964,0,-57.2576566461468,0,"edges","v37","directed_weighted","m1"
-1.46914528981265,0.0234184941154427,0,-62.7344048071761,0,"edges","v40","directed_weighted","m1"
-2.20096289944683,0.0353266691860776,0,-62.3031536840795,0,"edges","v41","directed_weighted","m1"
-3.30838035008494,0.068175519319551,0,-48.5273949227722,0,"edges","v42","directed_weighted","m1"
-2.67303568325368,0.0426029105634724,0,-62.7430297108746,0,"edges","v43","directed_weighted","m1"
-2.77532402170623,0.0460019942179547,0,-60.3305154241121,0,"edges","v44","directed_weighted","m1"
-2.70827464279882,0.0423757515768945,0,-63.9109524201458,0,"edges","v45","directed_weighted","m1"
-2.59717395165793,0.0421078738643278,0,-61.6790569864929,0,"edges","v47","directed_weighted","m1"
-1.91788822285321,0.0323479371874563,0,-59.2893516436316,0,"edges","v48","directed_weighted","m1"
-3.14931136046742,0.0527342175103,0,-59.7204530408041,0,"edges","v49","directed_weighted","m1"
-2.78595473221246,0.0462184611892819,0,-60.2779638379334,0,"edges","v50","directed_weighted","m1"
-3.32828849130064,0.0625179106878451,0,-53.2373595771448,0,"edges","v51","directed_weighted","m1"
-3.52130908905158,0.0640379817981554,0,-54.9878211363777,0,"edges","v52","directed_weighted","m1"
-3.21443691988728,0.0599918357893779,0,-53.581239473529,0,"edges","v53","directed_weighted","m1"
-2.87712653109782,0.0481291774372743,0,-59.7792583271865,0,"edges","v54","directed_weighted","m1"
-2.47399047707269,0.0436908033507931,0,-56.6249710999598,0,"edges","v55","directed_weighted","m1"
-3.26749650874714,0.060778539432435,0,-53.7606947988521,0,"edges","v56","directed_weighted","m1"
-2.3143287312436,0.0358494635582526,0,-64.5568580819346,0,"edges","v57","directed_weighted","m1"
-3.21243537467073,0.0566611445880418,0,-56.6955609179259,0,"edges","v58","directed_weighted","m1"
-3.30212619044044,0.0571872327547104,0,-57.7423671574396,0,"edges","v59","directed_weighted","m1"
-3.78150170111093,0.0897410213201409,0,-42.1379392108861,0,"edges","v65","directed_weighted","m1"
-3.05055977733909,0.0550172360544058,0,-55.4473469790891,0,"edges","v66","directed_weighted","m1"
-2.58475198475676,0.0423362217476379,0,-61.0529678383729,0,"edges","v67","directed_weighted","m1"
-2.62302655566777,0.0449859735715533,0,-58.3076534176961,0,"edges","v68","directed_weighted","m1"
-3.04158773243423,0.0518314246998284,0,-58.6823100088218,0,"edges","v69","directed_weighted","m1"
-2.86593610000462,0.0468757949642061,0,-61.1389332638097,0,"edges","v70","directed_weighted","m1"
